name,created_by_id,modified_by_id
ABINGTON,1,1
ACTON,1,1
ACUSHNET,1,1
ADAMS,1,1
AGAWAM,1,1
ALFORD,1,1
AMESBURY,1,1
AMHERST,1,1
ANDOVER,1,1
AQUINNAH,1,1
ARLINGTON,1,1
ASHBURNHAM,1,1
ASHBY,1,1
ASHFIELD,1,1
ASHLAND,1,1
ATHOL,1,1
ATTLEBORO,1,1
AUBURN,1,1
AVON,1,1
AYER,1,1
BARNSTABLE,1,1
BARRE,1,1
BECKET,1,1
BEDFORD,1,1
BELCHERTOWN,1,1
BELLINGHAM,1,1
BELMONT,1,1
BERKLEY,1,1
BERLIN,1,1
BERNARDSTON,1,1
BEVERLY,1,1
BILLERICA,1,1
BLACKSTONE,1,1
BLANDFORD,1,1
BOLTON,1,1
BOSTON,1,1
BOURNE,1,1
BOXBOROUGH,1,1
BOXFORD,1,1
BOYLSTON,1,1
BRAINTREE,1,1
BREWSTER,1,1
BRIDGEWATER,1,1
BRIMFIELD,1,1
BROCKTON,1,1
BROOKFIELD,1,1
BROOKLINE,1,1
BUCKLAND,1,1
BURLINGTON,1,1
CAMBRIDGE,1,1
CANTON,1,1
CARLISLE,1,1
CARVER,1,1
CHARLEMONT,1,1
CHARLTON,1,1
CHATHAM,1,1
CHELMSFORD,1,1
CHELSEA,1,1
CHESHIRE,1,1
CHESTER,1,1
CHESTERFIELD,1,1
CHICOPEE,1,1
CHILMARK,1,1
CLARKSBURG,1,1
CLINTON,1,1
COHASSET,1,1
COLRAIN,1,1
CONCORD,1,1
CONWAY,1,1
CUMMINGTON,1,1
DALTON,1,1
DANVERS,1,1
DARTMOUTH,1,1
DEDHAM,1,1
DEERFIELD,1,1
DENNIS,1,1
DIGHTON,1,1
DOUGLAS,1,1
DOVER,1,1
DRACUT,1,1
DUDLEY,1,1
DUNSTABLE,1,1
DUXBURY,1,1
E. BRIDGEWATER,1,1
E. BROOKFIELD,1,1
E. LONGMEADOW,1,1
EAST BRIDGEWATER,1,1
EAST BROOKFIELD,1,1
EAST LONGMEADOW,1,1
EASTHAM,1,1
EASTHAMPTON,1,1
EASTON,1,1
EDGARTOWN,1,1
EGREMONT,1,1
ERVING,1,1
ESSEX,1,1
EVERETT,1,1
FAIRHAVEN,1,1
FALL RIVER,1,1
FALMOUTH,1,1
FITCHBURG,1,1
FLORIDA,1,1
FOXBOROUGH,1,1
FRAMINGHAM,1,1
FRANKLIN,1,1
FREETOWN,1,1
GARDNER,1,1
GEORGETOWN,1,1
GILL,1,1
GLOUCESTER,1,1
GOSHEN,1,1
GOSNOLD,1,1
GRAFTON,1,1
GRANBY,1,1
GRANVILLE,1,1
GREAT BARRINGTON,1,1
GREENFIELD,1,1
GROTON,1,1
GROVELAND,1,1
HADLEY,1,1
HALIFAX,1,1
HAMILTON,1,1
HAMPDEN,1,1
HANCOCK,1,1
HANOVER,1,1
HANSON,1,1
HARDWICK,1,1
HARVARD,1,1
HARWICH,1,1
HATFIELD,1,1
HAVERHILL,1,1
HAWLEY,1,1
HEATH,1,1
HINGHAM,1,1
HINSDALE,1,1
HOLBROOK,1,1
HOLDEN,1,1
HOLLAND,1,1
HOLLISTON,1,1
HOLYOKE,1,1
HOPEDALE,1,1
HOPKINTON,1,1
HUBBARDSTON,1,1
HUDSON,1,1
HULL,1,1
HUNTINGTON,1,1
IPSWICH,1,1
KINGSTON,1,1
LAKEVILLE,1,1
LANCASTER,1,1
LANESBOROUGH,1,1
LAWRENCE,1,1
LEE,1,1
LEICESTER,1,1
LENOX,1,1
LEOMINSTER,1,1
LEVERETT,1,1
LEXINGTON,1,1
LEYDEN,1,1
LINCOLN,1,1
LITTLETON,1,1
LONGMEADOW,1,1
LOWELL,1,1
LUDLOW,1,1
LUNENBURG,1,1
LYNN,1,1
LYNNFIELD,1,1
MALDEN,1,1
MANCHESTER,1,1
MANSFIELD,1,1
MARBLEHEAD,1,1
MARION,1,1
MARLBOROUGH,1,1
MARSHFIELD,1,1
MASHPEE,1,1
MATTAPOISETT,1,1
MAYNARD,1,1
MEDFIELD,1,1
MEDFORD,1,1
MEDWAY,1,1
MELROSE,1,1
MENDON,1,1
MERRIMAC,1,1
METHUEN,1,1
MIDDLEBOROUGH,1,1
MIDDLEFIELD,1,1
MIDDLETON,1,1
MILFORD,1,1
MILLBURY,1,1
MILLIS,1,1
MILLVILLE,1,1
MILTON,1,1
MONROE,1,1
MONSON,1,1
MONTAGUE,1,1
MONTEREY,1,1
MONTGOMERY,1,1
MOUNT WASHINGTON,1,1
N. ADAMS,1,1
N. ANDOVER,1,1
N. ATTLEBOROUGH,1,1
N. BROOKFIELD,1,1
N. READING,1,1
NAHANT,1,1
NANTUCKET,1,1
NATICK,1,1
NEEDHAM,1,1
NEW ASHFORD,1,1
NEW BEDFORD,1,1
NEW BRAINTREE,1,1
NEW MARLBOROUGH,1,1
NEW SALEM,1,1
NEWBURY,1,1
NEWBURYPORT,1,1
NEWTON,1,1
NORFOLK,1,1
NORTH ADAMS,1,1
NORTH ANDOVER,1,1
NORTH ATTLEBOROUGH,1,1
NORTH BROOKFIELD,1,1
NORTH READING,1,1
NORTHAMPTON,1,1
NORTHBOROUGH,1,1
NORTHBRIDGE,1,1
NORTHFIELD,1,1
NORTON,1,1
NORWELL,1,1
NORWOOD,1,1
OAK BLUFFS,1,1
OAKHAM,1,1
ORANGE,1,1
ORLEANS,1,1
OTIS,1,1
OXFORD,1,1
PALMER,1,1
PAXTON,1,1
PEABODY,1,1
PELHAM,1,1
PEMBROKE,1,1
PEPPERELL,1,1
PERU,1,1
PETERSHAM,1,1
PHILLIPSTON,1,1
PITTSFIELD,1,1
PLAINFIELD,1,1
PLAINVILLE,1,1
PLYMOUTH,1,1
PLYMPTON,1,1
PRINCETON,1,1
PROVINCETOWN,1,1
QUINCY,1,1
RANDOLF,1,1
RANDOLPH,1,1
RAYNHAM,1,1
READING,1,1
REHOBOTH,1,1
REVERE,1,1
RICHMOND,1,1
ROCHESTER,1,1
ROCKLAND,1,1
ROCKPORT,1,1
ROWE,1,1
ROWLEY,1,1
ROYALSTON,1,1
RUSSELL,1,1
RUTLAND,1,1
S. HADLEY,1,1
SALEM,1,1
SALISBURY,1,1
SANDISFIELD,1,1
SANDWICH,1,1
SAUGUS,1,1
SAVOY,1,1
SCITUATE,1,1
SEEKONK,1,1
SHARON,1,1
SHEFFIELD,1,1
SHELBURNE,1,1
SHERBORN,1,1
SHIRLEY,1,1
SHREWSBURY,1,1
SHUTESBURY,1,1
SOMERSET,1,1
SOMERVILLE,1,1
SOUTH HADLEY,1,1
SOUTHAMPTON,1,1
SOUTHBOROUGH,1,1
SOUTHBRIDGE,1,1
SOUTHWICK,1,1
SPENCER,1,1
SPRINGFIELD,1,1
STERLING,1,1
STOCKBRIDGE,1,1
STONEHAM,1,1
STOUGHTON,1,1
STOW,1,1
STURBRIDGE,1,1
SUDBURY,1,1
SUNDERLAND,1,1
SUTTON,1,1
SWAMPSCOTT,1,1
SWANSEA,1,1
TAUNTON,1,1
TEMPLETON,1,1
TEWKSBURY,1,1
TISBURY,1,1
TOLLAND,1,1
TOPSFIELD,1,1
TOWNSEND,1,1
TRURO,1,1
TYNGSBOROUGH,1,1
TYRINGHAM,1,1
UPTON,1,1
UXBRIDGE,1,1
W. BOYLSTON,1,1
W. BRIDGEWATER,1,1
W. BROOKFIELD,1,1
W. NEWBURY,1,1
W. SPRINGFIELD,1,1
W. STOCKBRIDGE,1,1
W. TISBURY,1,1
WAKEFIELD,1,1
WALES,1,1
WALPOLE,1,1
WALTHAM,1,1
WARE,1,1
WAREHAM,1,1
WARREN,1,1
WARWICK,1,1
WASHINGTON,1,1
WATERTOWN,1,1
WAYLAND,1,1
WEBSTER,1,1
WELLESLEY,1,1
WELLFLEET,1,1
WENDELL,1,1
WENHAM,1,1
WEST BOYLSTON,1,1
WEST BRIDGEWATER,1,1
WEST BROOKFIELD,1,1
WEST NEWBURY,1,1
WEST SPRINGFIELD,1,1
WEST STOCKBRIDGE,1,1
WEST TISBURY,1,1
WESTBOROUGH,1,1
WESTFIELD,1,1
WESTFORD,1,1
WESTHAMPTON,1,1
WESTMINSTER,1,1
WESTON,1,1
WESTPORT,1,1
WESTWOOD,1,1
WEYMOUTH,1,1
WHATELY,1,1
WHATLEY,1,1
WHITMAN,1,1
WILBRAHAM,1,1
WILLIAMSBURG,1,1
WILLIAMSTOWN,1,1
WILMINGTON,1,1
WINCHENDON,1,1
WINCHESTER,1,1
WINDSOR,1,1
WINTHROP,1,1
WOBURN,1,1
WORCESTER,1,1
WORTHINGTON,1,1
WRENTHAM,1,1
YARMOUTH,1,1
